Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
1,Al40Cu15Cr15Fe15Si15,Al41-Cu13-Fe14-Cr16-Si16,LHEA,Induccion al vacio  modelo VIM,Al13Fe4+Ƭ1-AlFeSi+FeSi,BCC + IM,4.5,916,N/A,2994,N/A,N/A,21-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
2,Al65Cu5Cr5Si15Mn5Ti5,Al66-Cu6-Cr4-Si13-Mn7-Ti4,LHEA,Induccion al vacio  modelo VIM,Al0.74Mn0.20Si0.06+Al2Cu+Al5Si12Ti7+Al19Mn4,BCC + IM,3.7,889,N/A,2916,N/A,N/A,22-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
3,Al60Cu10Fe10Cr5Mn5Ni5Mg5,Al60-Cu11-Fe10-Cr6-Mn5-Ni6-Mg2,LHEA,Induccion al vacio  modelo VIM,Al3Ni2+Al7Cu4Ni+Mg2Cu6Al5 ,AM,4.6,743,N/A,2429,N/A,N/A,23-abr-18,https://doi.org/10.1016/j.jmrt.2018.06.010
4,Al20Li20Mg10Sc20Ti30,Al20-Li20-Mg10-Sc20-Ti30,LHEA,Aleacion Mecánica ,FCC,FCC,2.67,591,N/A,1932,N/A,N/A,03-nov-14,https://doi.org/10.1080/21663831.2014.985855
5,"Al20Li20Mg10Sc20Ti31  w/ N, O","(Al20-Li20-Mg10-Sc20-Ti30)98,21-N0,4-O1,39",LHEA,Aleacion Mecánica + impurezas de N y O,FCC,FCC,2.67,622,N/A,2033,N/A,N/A,03-nov-14,https://doi.org/10.1080/21663831.2014.985855
6,Al20Be20Fe10Si15Ti35,"Al21,4-Be19,6-Fe12-Si13,1-Ti32,8",LHEA,Fusión por arco en vacío,"Fase Laves+Al2(Ti, Fe)+Ti5Si3",FCC+IM,3.91,911,N/A,2976,N/A,N/A,28-feb-17,http://dx.doi.org/10.1007/s11431-017-9073-0.
7,Mg20(MnAlZnCu)80,Mg20-(Mn25-Al25-Zn25-Cu25)80,LHEA,Fundicion por induccion en Argón,Fase HCP+Al-Mn,HCP+IM,4.26,431,13.01,428,428,3.29,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
8,Mg33(MnAlZnCu)67,Mg33-(Mn25-Al25-Zn25-Cu25)67,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn3,HCP+IM,3.27,318,12.8,437,437,3.41,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
9,Mg43(MnAlZnCu)57,Mg43-(Mn25-Al25-Zn25-Cu25)57,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn4,HCP+IM,2.5,255,13.2,500,500,3.72,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
10,Mg45.6(MnAlZnCu)54.4,"Mg45,6-(Mn25-Al25-Zn25-Cu25)54,4",LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn5,HCP+IM,2.28,225,11.87,482,482,4.06,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
11,Mg50(MnAlZnCu)50,Mg50-(Mn25-Al25-Zn25-Cu25)50,LHEA,Fundicion por induccion en Argón,Fase HCP+Icosaedric phase+Mg+Mg7Zn6,HCP+IM,2.19,178,11.18,340,400,4.83,04-may-10,http://dx.doi.org/10.4028/www.scientific.net/MSF.650.265.
12,MgMnAlZnCu (Air),"Mg19,1-Mn20,4-Al20,3-Zn19,8-Cu20,4",LHEA,Fundicion por induccion en Argón enfriado aire,Fase HCP+Al-Mn,HCP+IM,4.26,431,13,428,428,3.3,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
13,MgMnAlZnCu (Water),"Mg19,8-Mn19,4-Al19,8-Zn20,8-Cu20,2",LHEA,Fundicion por induccion en Argón enfriado agua,Fase HCP+Al-Mn,HCP+IM,4.26,449,9.9,437,437,4.4,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
14,MgMnAlZnCu (Salt),"Mg19,3-Mn19,8-Al20,6-Zn20,2-Cu20,1",LHEA,Fundicion por induccion en Argón enfriado salmuera,Fase HCP+Al-Mn,HCP+IM,4.26,467,8.1,450,450,5.5,07-jun-11,http://dx.doi.org/10.4028/www.scientific.net/MSF.686.235.
15,Al40Cu15Mn5Ni5Si20Zn15,Al36-Cu12-Si34-Mn6-Zn7-Ni5,LHEA,Horno eléctrico de inducción de vacío VIM,Al2Mn2Si3+Al3Ni2+Al7Cu4Ni+Al9Mn3Si,FCC+BCC+IM,4.08,887,N/A,2900,N/A,N/A,09-mar-18,http://dx.doi.org/10.3390/met8030167.
16,Al45Cu15Mn5Fe5Si5Ti5Zn20,Al38-Cu15-Si16-Mn4-Zn10-Fe6-Ti11,LHEA,Horno eléctrico de inducción de vacío VIM,"Al11Cu5Mn3+Al13Fe4+Al5Si12Ti7+Al8Mn5+Al9Cu11+Cu0,025Zn0,975",FCC+BCC+IM,5.07,744,N/A,2432,N/A,N/A,09-mar-18,http://dx.doi.org/10.3390/met8030167.
17,Al35Cu5Fe5Mn5Si30V10Zr10,Al38-Cu6-Si32-Mn5-Fe5-Zr8-V6,LHEA,Horno eléctrico de inducción de vacío VIM,Al13Fe4+Al2Mn2Si3+Al9Fe2Si+Al9Cu11+Al9Mn3Si+VSi2+ZrSi2,BCC + IM,3.96,751,N/A,2455,N/A,N/A,09-mar-18,http://dx.doi.org/10.3390/met8030167.
18,Al50Ca5Cu5Ni10Si20Ti10,Al56-Cu7-Si21-Ni7-Ti4-Ca5,LHEA,Horno eléctrico de inducción de vacío VIM,CuAl2+Al3Ni2+Al5Si12Ti7+Al2CaSi2+α-Al,FCC+BCC+IM,3.33,437,N/A,1429,N/A,N/A,09-mar-18,http://dx.doi.org/10.3390/met8030167.
19,AlNbTiV,"Al27,6-Nb24,1-Ti24,8-V23,5",LHEA,Fusión por arco en vacío,BCC,BCC,5.5,N/A,N/A,1000,1280,5.2,27-ago-15,http://dx.doi.org/10.1016/j.jallcom.2015.08.224
20,AlCr0.5NbTiV,"Al25,6-Cr10,2-Nb22,2-Ti21,4-V20,6",LHEA,Fusión por arco en vacío,BCC,BCC,5.64,N/A,N/A,1300,1430,0.8,27-ago-15,http://dx.doi.org/10.1016/j.jallcom.2015.08.224
21,AlCrNbTiV,"Al22,9-Cr18,8-Nb20,2-Ti19,3-V18,8",LHEA,Fusión por arco en vacío,BCC+Laves (C14),BCC+IM,5.76,N/A,N/A,1550,1570,0.4,27-ago-15,http://dx.doi.org/10.1016/j.jallcom.2015.08.224
22,AlCr1.5NbTiV,"Al21,7-Cr25,0-Nb18,7-Ti17,8-V16,8",LHEA,Fusión por arco en vacío,BCC+Laves (C14),BCC+IM,5.86,N/A,N/A,1700,1700,0,27-ago-15,http://dx.doi.org/10.1016/j.jallcom.2015.08.224
23,AlLiMgZnSn,Al20-Li20-Mg20-Zn20-Sn20,LHEA,Fundicion por induccion en Argón,Mg2Sn/Li MgSn + Zn + Al + β-Sn,FCC+BCC+IM,4.23,N/A,N/A,600,615,1.2,22-jul-14,http://dx.doi.org/10.1007/s11837-014-1059-z
24,AlLi0.5MgZn0.5Sn0.2,"(Al50-Mg50)98,8-Li0,5-Zn0,5-Sn0,2",LHEA,Fundicion por induccion en Argón,Mg2Sn/Li MgSn + Mg32(AlZn)49 + Al,FCC+BCC+IM,3.22,N/A,N/A,N/A,546,N/A,22-jul-14,http://dx.doi.org/10.1007/s11837-014-1059-z
25,Al80Li5Mg5Zn5Cu5,(Al50-Mg50)85-Li5-Zn5-Cu2,LHEA,Fundicion por induccion en Argón,Al + Al2Cu + AlCu3,FCC+BCC+IM,3.08,N/A,N/A,488,879,17,22-jul-14,http://dx.doi.org/10.1007/s11837-014-1059-z
26,Al80Li5Mg5Zn5Sn5,(Al50-Mg50)85-Li5-Zn5-Sn2,LHEA,Fundicion por induccion en Argón,Al + Mg2Sn/Li MgSn + β-Sn,FCC+BCC+IM,3.05,N/A,N/A,415,836,16,22-jul-14,http://dx.doi.org/10.1007/s11837-014-1059-z
27,Ti60Cu14Ni12Sn4Nb10,Ti60-Cu14-Ni12-Sn4-Nb10,Refractario,Fundicion por arco,"BCC-β-Ti (Nb, Sn)",FCC+BCC+IM,N/A,N/A,66.1,1312,2401,14.5,08-dic-22,https://doi.org/10.1038/nmat792
28,Ti60Cu14Ni12Sn4Ta10,Ti60-Cu14-Ni12-Sn4-Ta10,Refractario,Fundicion por arco,"BCC-β-Ti(Ta,Sn)",FCC+BCC+IM,N/A,N/A,70.8,1568,2322,6,08-dic-22,https://doi.org/10.1038/nmat792
29,Ti50Cu23Ni20Sn7,Ti50-Cu23-Ni20-Sn7,Refractario,Fundicion por arco,HCP -Ti,HCP,N/A,N/A,85.3,1300,2114,5.5,08-dic-22,https://doi.org/10.1038/nmat792
30,Ti20Zr20Hf20Nb20V20,"Ti19,42-Zr20,36-Hf20,47-Nb24,32-V15,43",Refractario,Fusión por inducción,BCC+unknown,BCC+IM,N/A, 387.5,128,1170,1463,29.6,07-jul-14,http://dx.doi.org/10.1016/j.ijrmhm.2014.07.009
31,Ti20Zr20Hf20Nb20Cr20,"TI18,14-Zr21,9-Hf24,26-Nb26,29-Cr-9,11",Refractario,Fusión por inducción,BCC+Cr2Nb+Cr2Hf,BCC,N/A,464,112,1375,2130,2.8,07-jul-14,http://dx.doi.org/10.1016/j.ijrmhm.2014.07.009
32,(CoCrNi)94Al3Ti3,(Co33-Cr33-Ni33)94-Al3-Ti3,MEA,Fusión por arco en Argón,FCC (fase γ)+ superlattice L12 (fase  γ'),FCC+IM,N/A,N/A,N/A,750,1300,45,12-jul-17,https://doi.org/10.1016/j.actamat.2017.07.029
33,NiCoCr,Ni33-Co33-Cr33,MEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,88,500,940,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
34,FeCoNiCr,Fe25-Co25-Ni25-Mn25,HEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,85,350,715,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
35,FeCoNiCrMn,Fe20-Co20-Ni20-Cr20-Mn20,HEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,82,310,660,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
36,(FeCoNiCr)94Mn6,(Fe25-Co25-Ni25-Cr25)94-Mn6,HEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,81,308,685,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
37,(FeCoNiCr)86Mn14,(Fe25-Co25-Ni25-Cr25)86-Mn14,HEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,82,305,665,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
38,Fe20Co15Ni25Cr20Mn20,Fe20-Co15-Ni25-Cr20-Mn20,HEA,Fusion por arco + envejecimiento a 800°C 1 H,FCC+IM,FCC+IM,N/A,N/A,77,300,645,N/A,08-oct-17,https://doi.org/10.1016/j.intermet.2017.10.004
39,FeCoNiCr,"Fe25,9-Co24,3Ni24,7-Cr23,1",HEA,Fusion por arco homogeneizado 1473 K por 4 h,FCC,FCC,N/A,N/A,N/A,200,403,68,29-ago-15,https://doi.org/10.1016/j.actamat.2015.08.076
40,(FeCoNiCr)94Ti2Al4,"Fe24,1-Co23,3-Ni24,1-Cr22,0-Ti2,1-Al4,4",HEA,Fusion por arco homogeneizado 1473 K por 4 h,FCC,FCC,N/A,N/A,N/A,230,503,66,29-ago-15,https://doi.org/10.1016/j.actamat.2015.08.076
41,(FeCoNiCr)95Ti1Al4,(Fe25-Co25-Ni25-Cr25)95-Ti1-Al4,HEA,Fusion por arco homogeneizado 1200 °C por 4 h + envejecimiento 800 °C por 18 h,FCC+Precipitados,FCC+IM,N/A,N/A,N/A,380,755,44,16-sept-16,https://doi.org/10.1016/j.intermet.2016.09.005
42,(FeCoNiCr)94Ti2Al4,(Fe25-Co25-Ni25-Cr25)94-Ti2-Al4,HEA,Fusion por arco homogeneizado 1200 °C por 4 h + envejecimiento 800 °C por 18 h,FCC+Precipitados,FCC+IM,N/A,N/A,N/A,520,945,34,16-sept-16,https://doi.org/10.1016/j.intermet.2016.09.005
43,(FeCoNiCr)91Ti3Al6,(Fe25-Co25-Ni25-Cr25)91-Ti3-Al6,HEA,Fusion por arco homogeneizado 1200 °C por 4 h + envejecimiento 800 °C por 18 h,FCC+(NiCo)2TiAl,FCC+IM,N/A,N/A,N/A,530,1040,9.5,16-sept-16,https://doi.org/10.1016/j.intermet.2016.09.005
44,(FeCoNiCr)88Ti3Al9,(Fe25-Co25-Ni25-Cr25)88-Ti3-Al9,HEA,Fusion por arco homogeneizado 1200 °C por 4 h + envejecimiento 800 °C por 18 h,FCC+(NiCo)2TiAl,FCC+IM,N/A,N/A,N/A,480,950,3,16-sept-16,https://doi.org/10.1016/j.intermet.2016.09.005
45,TiZrNbTa,Ti25-Zr25-Nb25-Ta25,Refractario,Fundicion por arco en argón,BCC,BCC,N/A,326,115,1020,2450,>50,21-ene-18,https://doi.org/10.1016/j.intermet.2018.01.017
46,(TiZrNbTa)95Mo5,(Ti25-Zr25-Nb25-Ta25)95-Mo5,Refractario,Fundicion por arco en argón,BCC,BCC,N/A,377,129,1180,2540,50,21-ene-18,https://doi.org/10.1016/j.intermet.2018.01.017
47,(TiZrNbTa)90Mo10,(Ti25-Zr25-Nb25-Ta25)90Mo10,Refractario,Fundicion por arco en argón,BCC1+BCC2,BCC,N/A,428,137,1300,2250,25,21-ene-18,https://doi.org/10.1016/j.intermet.2018.01.017
48,(TiZrNbTa)85Mo15,(Ti25-Zr25-Nb25-Ta25)85Mo15,Refractario,Fundicion por arco en argón,BCC1+BCC2,BCC,N/A,459,150,1370,2200,18,21-ene-18,https://doi.org/10.1016/j.intermet.2018.01.017
49,(TiZrNbTa)80Mo20,(Ti25-Zr25-Nb25-Ta25)80Mo20,Refractario,Fundicion por arco en argón,BCC1+BCC2,BCC,N/A,500,155,1460,1980,6,21-ene-18,https://doi.org/10.1016/j.intermet.2018.01.017
50,"Fe49,5Mn30Co10Cr10C0,5 ","Fe49,35-Mn30,48-Co10,31-Cr9,24-C0,63",HEA,Fusion con homogenizacion a 1200°C por 2 h + laminado en frio,HCP-martensita +FCC,FCC+IM,N/A,N/A,N/A,1300,1500,12,10-oct-18,https://doi.org/10.1016/j.actamat.2018.10.017
51,"Fe49,5Mn30Co10Cr10C0,6","Fe49,35-Mn30,48-Co10,31-Cr9,24-C0,64",HEA,Fusion con homogenizacion a 1200°C por 2 h + envejecimiento 650°C por 3 min,FCC con recristalizacion,FCC,N/A,N/A,N/A,824,1050,33,10-oct-18,https://doi.org/10.1016/j.actamat.2018.10.017
52,"Fe49,5Mn30Co10Cr10C0,7","Fe49,35-Mn30,48-Co10,31-Cr9,24-C0,65",HEA,Fusion con homogenizacion a 1200°C por 2 h + envejecimiento 750°C por 3 min,FCC con recristalizacion,FCC,N/A,N/A,N/A,555,938,60,10-oct-18,https://doi.org/10.1016/j.actamat.2018.10.017
53,CoCrMnNi,Co25-Cr25-Mn25-Ni25,HEA,Fusion por arco+homogenizacion  1373 k por 24h+envejecimiento 1173 k por 1h+laminado en frio,FCC,FCC,N/A,N/A,N/A,280,699,43,13-ago-14,https://doi.org/10.1016/j.actamat.2014.08.026
54,CrMnFeCoNi,Cr20-Mn20-Fe20-Co20-Ni20,HEA,Fusion por arco + envejecimiento a 1000°C por 24h + laminado en caliente,FCC,FCC,N/A,N/A,N/A,215,590,39,18-abr-18,https://doi.org/10.1016/j.intermet.2013.03.018
55,CrFeCoNi,Cr25-Fe25-Co25-Ni25,MEA,Fusion por arco + envejecimiento a 1000°C por 24h + laminado en caliente,FCC,FCC,N/A,N/A,N/A,300,680,42,18-abr-18,https://doi.org/10.1016/j.intermet.2013.03.018
56,"Al0,1CoCrFeNi ","Al2,44-Co24,4-Cr24,4-Fe24,4-Ni24,4",HEA,Fusion por arco + laminado en frio ,FCC,FCC,N/A,N/A,N/A,199,531,60,21-nov-16,https://doi.org/10.1080/21663831.2016.1257514
57,"Al0,1CoCrFeNi ","Al2,44-Co24,4-Cr24,4-Fe24,4-Ni24,4",HEA,Fusion por arco + laminado en frio + envejecimiento a 1073 k por 1 h,FCC,FCC,N/A,N/A,N/A,366,715,46,21-nov-16,https://doi.org/10.1080/21663831.2016.1257514
58,"Al0,1CoCrFeNi ","Al2,44-Co24,4-Cr24,4-Fe24,4-Ni24,5",HEA,Fundicion por induccion al vacio + prensado en caliente 1204°C,FCC,FCC,N/A,181,N/A,315,900,75,27-mar-15,https://doi.org/10.1007/s11837-015-1385-9
59,Al0.1CrNbVMo,"Al2,3-Cr23,8-Nb24,1-V23,4-Mo26,4",Refractario,Aleacion Mecánica + sinterizado por plasma de chispa,BCC + inclusiones de alumina,BCC+IM,7.96,N/A,99,2863,3310,6.1,11-jul-18,https://doi.org/10.1016/j.jallcom.2018.07.145
60,Al0.1CrNbVMo,"Al2,3-Cr23,8-Nb24,1-V23,4-Mo26,4",Refractario,Aleacion Mecánica + sinterizado por plasma de chispa + envejecimiento 1250°C por 16 h,BCC + inclusiones de alumina,BCC+IM,7.96,N/A,99,2478,3190,6.8,11-jul-18,https://doi.org/10.1016/j.jallcom.2018.07.145
61,Al0.1CrNbVMo,"Al2,3-Cr23,8-Nb24,1-V23,4-Mo26,4",Refractario,Aleacion Mecánica + sinterizado por plasma de chispa + envejecimiento 1450°C por 16 h,BCC + inclusiones de alumina,BCC+IM,7.96,N/A,99,2244,3320,8.7,11-jul-18,https://doi.org/10.1016/j.jallcom.2018.07.145
62,WNbMoTaV,W20-Nb20-Mo20-Ta20-V20,Refractario,Aleacion Mecánica + sinterizado por plasma de chispa 1500 °C,BCC+ Ta2VO6,BCC+IM,N/A,N/A,204.44,2612,3472,8.8,07-dic-17,https://doi.org/10.1016/j.msea.2017.12.021
63,WNbMoTaV,W20-Nb20-Mo20-Ta20-V20,Refractario,Aleacion Mecánica + sinterizado por plasma de chispa 1600 °C,BCC+ Ta2VO6,BCC+IM,N/A,N/A,204.44,2514,2930,4.6,07-dic-17,https://doi.org/10.1016/j.msea.2017.12.021
64,WNbMoTaV,W20-Nb20-Mo20-Ta20-V20,Refractario,Aleacion Mecánica + sinterizado por plasma de chispa  1700 °C,BCC,BCC,N/A,N/A,204.44,2491,2740,1.8,07-dic-17,https://doi.org/10.1016/j.msea.2017.12.021
65,Co25Ni25Fe25Al7.5Cu17.5,"Co25,5-Ni24,8-Fe6,2-Al6,7-Cu16,8",HEA,Fusion por arco al vacio en argon,FCC,FCC,N/A,129,N/A,192,N/A,">44,2",21-ene-16,https://doi.org/10.1016/j.actamat.2016.01.050
66,Co25Ni25Fe25Al7.5Cu17.5,"Co25-Ni24,9-Fe26,6-Al6,6-Cu16,9",HEA,Aleacion Mecánica 49 h + sinterizado por plasma de chispa 1273 K,FCC,FCC,N/A,454,N/A,1795,1936,10.6,21-ene-16,https://doi.org/10.1016/j.actamat.2016.01.050
67,CoCrCuFeNi,Co20-Cr20-Cu20-Fe20-Ni20,HEA,Fundicion por arco en argón,FCC,FCC,N/A,N/A,55.6,230,888,50.76,04-ago-06,https://doi.org/10.1016/j.intermet.2006.08.005
68,CoCrCuFeNiTi0.5,"Co18,2-Cr18,2-Cu18,2-Fe18,2-Ni18,2-Ti9",HEA,Fundicion por arco en argón,FCC,FCC,N/A,N/A,98.6,700,1650,22.14,04-ago-06,https://doi.org/10.1016/j.intermet.2006.08.005
69,CoCrCuFeNiTi0.8,"Co17,34-Cr17,34-Cu17,34-Fe17,34-Ni17,34-Ti13,28",HEA,Fundicion por arco en argón,FCC+Laves (Fe2Ti),FCC+IM,N/A,N/A,128.3,1042,1848,3,04-ago-06,https://doi.org/10.1016/j.intermet.2006.08.005
70,CoCrCuFeNiTi,"Co16,6-Cr16,6-Cu16,6-Fe16,6-Ni16,6-Ti16,6",HEA,Fundicion por arco en argón,FCC+Laves (Fe2Ti),FCC+IM,N/A,N/A,76.5,1272,1272,1.6,04-ago-06,https://doi.org/10.1016/j.intermet.2006.08.005
71,AlCoCrCuFeNi,"Al16,6-Co16,6-Cr16,6-Cu16,6-Fe16,6-Ni16,6",HEA,Fundicion por arco en argón,FCC+BCC,FCC+BCC,N/A,420,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
72,Al0.5CoCrCuFeNi,"Al9-Co18,1-Cr18,1-Cu18,1-Fe18,1-Ni18,1",HEA,Fundicion por arco en argón,FCC,FCC,N/A,208,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
73,AlCo0.5CrCuFeNi,"Al18,1-Co9-Cr18,1-Cu18,1-Fe18,1-Ni18,1",HEA,Fundicion por arco en argón,FCC+BCC,FCC+BCC,N/A,473,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
74,AlCoCr0.5CuFeNi,"Al18,1-Co18,1-Cr9-Cu18,1-Fe18,1-Ni18,1",HEA,Fundicion por arco en argón,FCC+BCC,FCC+BCC,N/A,367,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
75,AlCoCrCu0.5FeNi,"Al18,1-Co18,1-Cr18,1-Cu9-Fe18,1-Ni18,1",HEA,Fundicion por arco en argón,BCC,BCC,N/A,458,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
76,AlCoCrCuFe0.5Ni,"Al18,1-Co18,1-Cr18,1-Cu18,1-Fe9-Ni18,1",HEA,Fundicion por arco en argón,FCC+BCC,FCC+BCC,N/A,418,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
77,AlCoCrCuFeNi0.5,"Al18,1-Co18,1-Cr18,1-Cu18,1-Fe18,1-Ni9",HEA,Fundicion por arco en argón,FCC+BCC,FCC+BCC,N/A,423,N/A,N/A,N/A,N/A,27-abr-06,https://doi.org/10.1016/j.matlet.2006.03.140
78,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,26",HEA, fusión por arco convencional a 1150°C 1h,FCC,FCC,N/A,N/A,N/A,159,410,65,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
79,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,27",HEA, fusión por arco convencional a 1150°C 5 min,FCC,FCC,N/A,N/A,N/A,220,550,60,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
80,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,28",HEA, fusión por arco convencional a 1150°C 1h + envejecimiento a 700 °C por 50 h,FCC+B2,FCC+IM,N/A,N/A,N/A,215,520,43,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
81,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,29",HEA, fusión por arco convencional a 1150°C 1h+ envejecimiento a 550 °C por 150 h,FCC+L12,FCC+IM,N/A,N/A,N/A,285,540,55,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
82,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,30",HEA, fusión por arco convencional a 1150°C 2 min,FCC,FCC,N/A,N/A,N/A,263,589,60,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
83,Al0.3CoCrFeNi,"Al6,98-Co23,26-Cr23,26-Fe23,26-Ni23,31",HEA, fusión por arco convencional a 1150°C 2 min + envejecimiento a 620 °C por 50 h,FCC+L12+B2,FCC+IM,N/A,N/A,N/A,490,840,45,21-feb-17,https://doi.org/10.1016/j.matdes.2017.02.072
84,NbTiVZr,"Nb28,3-Ti24,5-V23,0-Zr24,2",HEA,Fusion por arco al vacio + Prensado 1200 °C por 2h a 207Mpa + homogenizacion 1200 °C por 24h,BCC,BCC,6.52,335.5,N/A,N/A,N/A,N/A,18-nov-12,https://doi.org/10.1016/j.actamat.2012.11.032
85,NbTiV2Zr,"Nb22,6-Ti19,4-V37,2-Zr20,8",HEA,Fusion por arco al vacio + Prensado 1200 °C por 2h a 207Mpa + homogenizacion 1200 °C por 24h,BCC1(enriquecida con Zr)+BCC2(enriquecida con V)+BCC3 (enriquecida con Zr),BCC,6.34,305,N/A,N/A,N/A,N/A,18-nov-12,https://doi.org/10.1016/j.actamat.2012.11.032
86,CrNbTiZr,"Cr24,6-Nb26,7-Ti23,9-Zr24,8",HEA,Fusion por arco al vacio + Prensado 1200 °C por 2h a 207Mpa + homogenizacion 1200 °C por 24h,BCC(Nb-ti)+FCC(Cr),FCC+BCC,6.67,418,N/A,N/A,N/A,N/A,18-nov-12,https://doi.org/10.1016/j.actamat.2012.11.032
87,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",HEA,Fusion por arco al vacio + Prensado 1200 °C por 2h a 207Mpa + homogenizacion 1200 °C por 24h,FCC(Cr)+BCC(Nb-Ti),FCC+BCC,6.57,481,N/A,N/A,N/A,N/A,18-nov-12,https://doi.org/10.1016/j.actamat.2012.11.032
88,CoCrFeMnNi,Co20-Cr20-Fe20-Mn20-Ni20,Criogenico,Fusion por levitacion magnetica + laminado en caliente + recocido 948 K por 30 min - estudio a 77 K,FCC con grano ultrafino ,FCC,N/A,N/A,N/A,1210,1500,41,29-jul-19,https://doi.org/10.1016/j.jallcom.2019.07.357
89,CoCrFeMnNi,Co20-Cr20-Fe20-Mn20-Ni20,Criogenico,Fusion por levitacion magnetica+ laminado en caliente + recocido 1073 K por 30 min - estudio a 77 K,FCC con grano fino,FCC,N/A,N/A,N/A,850,1300,55,29-jul-19,https://doi.org/10.1016/j.jallcom.2019.07.357
90,CoCrFeMnNi,Co20-Cr20-Fe20-Mn20-Ni20,Criogenico,Fusion por levitacion magnetica+ laminado en caliente + recocido 1473 K por 1H - estudio a 77 K,FCC con grano grueso,FCC,N/A,N/A,N/A,500,1000,83,29-jul-19,https://doi.org/10.1016/j.jallcom.2019.07.357
91,CrFeCoNiPd,Cr20-Fe20-C20-Ni20-Pd20,Criogenico,Fucion por arco +homogenizacion a 1200 °C por 24 h + recristalizado de 1150 °C por 1 h - estudio a 77 K,FCC (Grano 130 um),FCC,N/A,N/A,N/A,666,1012,74,31-jul-19,https://doi.org/10.1038/s41586-019-1617-1
92,CrFeCoNiPd,Cr20-Fe20-C20-Ni20-Pd21,Criogenico,Fucion por arco +homogenizacion a 1200 °C por 24 h + recristalizado de 1150 °C por 20 min - estudio a 77 K,FCC (Grano 5 um),FCC,N/A,N/A,N/A,900,1244,60,31-jul-19,https://doi.org/10.1038/s41586-019-1617-1
93,40Fe–25Ni–15Cr–10Co–10V,Fe40-Ni25-Cr15-Co10-V10,Criogenico,Fucion por induccion al vacio + homogenizacion 1100°C por 6 h + recocido a 900°C por 10 min ,FCC,FCC,N/A,N/A,N/A,393,735,44,21-ago-18,https://doi.org/10.1007/s12540-018-0184-6
